id,priority,area,scenario,expected,status,evidence,tester,executed_at
UAT-R6-001,P0,Membership,Create Person → Application → placement preview → Submit → Approve,One Qualification; Sponsor/Binary exactly once; audit trace complete,NOT_RUN,,,
UAT-R6-002,P0,Sponsor Rule,First direct attempts right/non-left subtree placement,API rejects; DB trigger rejects direct SQL bypass,NOT_RUN,,,
UAT-R6-003,P0,Sponsor Rule,Third direct attempts right/non-left subtree placement,API rejects; DB trigger rejects direct SQL bypass,NOT_RUN,,,
UAT-R6-004,P0,Order/GPV,ENTRY Order → Payment Confirmed → worker,GPV_CREATED exactly once; no duplicate on retry,NOT_RUN,,,
UAT-R6-005,P0,Active,Qualification active period starts/expires,Award eligibility follows event-time Active state,NOT_RUN,,,
UAT-R6-006,P0,Upgrade,Upgrade after NT$600 confirmation,Future-effective PlanHistory; prior award snapshots unchanged,NOT_RUN,,,
UAT-R6-007,P0,Transfer,Transfer holder,Qualification ID/Sponsor/Binary remain unchanged; HolderHistory updated,NOT_RUN,,,
UAT-R6-008,P0,Exit,Exit to company holder,Qualification closed/company-held; later retransfer allowed by workflow,NOT_RUN,,,
UAT-R6-009,P0,Return,Partial return after settlement,"GPV reversal, Recovery, recalculation/replay all exact",NOT_RUN,,,
UAT-R6-010,P0,Recovery,Recovery spans 3 payout batches,Partial offsets deterministic; outstanding reaches zero only once,NOT_RUN,,,
UAT-R6-011,P0,Payout,Same actor tries Finance+Compliance approval,Second stage rejected,NOT_RUN,,,
UAT-R6-012,P0,Payout,Two actors approve → export → reconcile paid,Batch PAID; Payable entries PAID; audit refs preserved,NOT_RUN,,,
UAT-R6-013,P0,Auth,No bearer calls /admin endpoint,401,NOT_RUN,,,
UAT-R6-014,P0,Auth,Expired/revoked backend session,401,NOT_RUN,,,
UAT-R6-015,P0,Auth,Valid Entra user without AdminAccessGrant,Exchange rejected,NOT_RUN,,,
UAT-R6-016,P0,Auth,Entra token wrong tenant/audience/signature,Exchange rejected,NOT_RUN,,,
UAT-R6-017,P0,RBAC,MEMBERSHIP_OPS calls payout endpoint,403,NOT_RUN,,,
UAT-R6-018,P0,RBAC,FINANCE calls workflow approval endpoint,403,NOT_RUN,,,
UAT-R6-019,P0,Security,ADMIN_AUTH_BYPASS=true with NODE_ENV=production,Bearer still required,NOT_RUN,,,
UAT-R6-020,P0,Integrity,Recovery arithmetic mismatch injected in isolated DB,CRITICAL alert emitted; no auto-repair,NOT_RUN,,,
UAT-R6-021,P0,Integrity,Payout net mismatch injected in isolated DB,CRITICAL alert emitted,NOT_RUN,,,
UAT-R6-022,P1,Audit,Trace return/replay/payout via correlation ID,All correlated audit records retrievable,NOT_RUN,,,
UAT-R6-023,P1,Documents,Supersede original application PDF metadata,"v1 SUPERSEDED, v2 ACTIVE, v1 retained",NOT_RUN,,,
UAT-R6-024,P1,CSV,Export max dataset,"UTF-8 BOM CSV; ≤10,000 rows; values quoted",NOT_RUN,,,
UAT-R6-025,P1,Session,Logout then replay same backend token,401,NOT_RUN,,,
UAT-R6-026,P1,Concurrency,Double-click application approve,Single qualification / no duplicate sponsor sequence,NOT_RUN,,,
UAT-R6-027,P1,Concurrency,Double payment confirmation,One payment business effect / one GPV event,NOT_RUN,,,
UAT-R6-028,P1,Replay,Run same return reversal/replay twice,No duplicate recovery; deterministic replay state,NOT_RUN,,,
UAT-R6-029,P1,Backup,Backup/restore staging database,Counts/checksums/integrity alerts match pre-backup state,NOT_RUN,,,
UAT-R6-030,P1,Observability,Sponsor/Binary historical `at` query,Historical edge validity correct and trees stay separate,NOT_RUN,,,
