id,file,line,title,category,domain,status,specificationReview
TODO-001,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,3,G1 STARTER Active receives GPV x 15% theory,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-002,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,4,G1 ELITE Active receives GPV x 20% theory,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-003,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,5,G1 LEADER Active receives GPV x 25% theory,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-004,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,6,inactive G1 generates no referral bonus and equalization base is zero,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-005,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,7,"equalization base is same-source G1 referral theory, not GPV",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-006,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,8,STARTER rates G2/G3/G4 are 10/10/10,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-007,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,9,ELITE rates G2..G6 are 20/10/10/5/5,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-008,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,10,LEADER rates G2..G7 are 20/15/10/10/10/5 including G5=10,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-009,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,11,intermediate ineligible generation does not block higher generation,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-010,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,12,recipient plan and effective-direct count control unlock depth,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-011,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,13,Referral + Equalization share 42% pool and K0,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-012,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,17,"uses Binary subtree GPV, not Sponsor tree",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-013,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,18,"pair = min(left available,right available) subject to weekly cap",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-014,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,19,paired PV deducted from both sides and strong-side carry remains,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-015,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,20,STARTER/ELITE/LEADER weekly caps 450k/900k/1.5m,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-016,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,21,Binary theory = paired PV x 12%,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-017,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,22,Binary Pool is 36% and K1 <= 1,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-018,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,23,inactive recipient produces no Binary award,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-019,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,27,"source is actual Binary payable after K1, never Binary theory",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-020,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,28,Sponsor Tree is used to trace matching uplines,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-021,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,29,"rates are G1=15,G2=10,G3-G5=5",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-022,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,30,"direct 1 unlocks G1-G2, 2 unlocks G1-G3, 3 unlocks G1-G4, 4+ unlocks G1-G5",Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-023,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,31,Matching Pool is 15% and K2 <= 1,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-024,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,35,award creates CALCULATED then PENDING_45D events,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-025,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,36,after pending_until latest status becomes EFFECTIVE,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
TODO-026,backend/apps/api/test/bonus-engine-v04.e2e-spec.ts,37,award row itself remains append-only,Test implementation,bonus-engine-v04,TODO / NOT EXECUTED,Required before implementation; no rule inferred from title alone
